runid,recall,precision,f-score
txt.513_ROUGE-4,0.0101,0.01064,0.01037
txt.514_ROUGE-4,0.00253,0.00253,0.00253
txt.515_ROUGE-4,0.00758,0.00773,0.00765
txt.516_ROUGE-4,0.00758,0.00743,0.0075
txt.517_ROUGE-4,0,0,0
txt.518_ROUGE-4,0,0,0
txt.519_ROUGE-4,0,0,0
txt.51_ROUGE-4,0.00745,0.00897,0.0081
txt.520_ROUGE-4,0,0,0
txt.521_ROUGE-4,0,0,0
txt.522_ROUGE-4,0,0,0
txt.523_ROUGE-4,0,0,0
txt.524_ROUGE-4,0,0,0
txt.525_ROUGE-4,0,0,0
txt.526_ROUGE-4,0,0,0
txt.527_ROUGE-4,0,0,0
txt.528_ROUGE-4,0,0,0
txt.529_ROUGE-4,0,0,0
txt.52_ROUGE-4,0.0075,0.00969,0.0084
txt.530_ROUGE-4,0,0,0
txt.531_ROUGE-4,0,0,0
txt.532_ROUGE-4,0,0,0
txt.533_ROUGE-4,0,0,0
txt.534_ROUGE-4,0,0,0
txt.535_ROUGE-4,0,0,0
txt.536_ROUGE-4,0,0,0
txt.537_ROUGE-4,0,0,0
txt.538_ROUGE-4,0,0,0
txt.539_ROUGE-4,0,0,0
txt.53_ROUGE-4,0.00609,0.00795,0.00679
txt.540_ROUGE-4,0,0,0
txt.541_ROUGE-4,0,0,0
txt.542_ROUGE-4,0,0,0
txt.543_ROUGE-4,0,0,0
txt.544_ROUGE-4,0,0,0
txt.545_ROUGE-4,0,0,0
txt.546_ROUGE-4,0,0,0
txt.547_ROUGE-4,0,0,0
txt.548_ROUGE-4,0,0,0
txt.549_ROUGE-4,0,0,0
txt.550_ROUGE-4,0,0,0
txt.551_ROUGE-4,0,0,0
txt.552_ROUGE-4,0,0,0
txt.553_ROUGE-4,0,0,0
txt.554_ROUGE-4,0,0,0
txt.555_ROUGE-4,0,0,0
txt.556_ROUGE-4,0,0,0
txt.557_ROUGE-4,0,0,0
txt.558_ROUGE-4,0,0,0
txt.559_ROUGE-4,0,0,0
txt.55_ROUGE-4,0.00439,0.00562,0.00488
txt.560_ROUGE-4,0,0,0
txt.561_ROUGE-4,0,0,0
txt.562_ROUGE-4,0,0,0
txt.563_ROUGE-4,0,0,0
txt.564_ROUGE-4,0,0,0
txt.565_ROUGE-4,0,0,0
txt.566_ROUGE-4,0,0,0
txt.567_ROUGE-4,0,0,0
txt.568_ROUGE-4,0,0,0
txt.569_ROUGE-4,0,0,0
txt.56_ROUGE-4,0.00579,0.00722,0.00636
txt.570_ROUGE-4,0,0,0
txt.571_ROUGE-4,0,0,0
txt.572_ROUGE-4,0,0,0
txt.573_ROUGE-4,0,0,0
