=====   TOP 5   =====


config.gold.rouge.xml.0  =>  rouge.out.txt.0
ROUGE-1 D0830F-A.txt.208 0.34328
ROUGE-1 D0830F-A.txt.238 0.33831

ROUGE-2 D0830F-A.txt.186 0.06533
ROUGE-2 D0830F-A.txt.185 0.06533
ROUGE-2 D0830F-A.txt.184 0.06533
ROUGE-2 D0830F-A.txt.53 0.06030
ROUGE-2 D0830F-A.txt.187 0.06030

ROUGE-3 D0830F-A.txt.53 0.01523
ROUGE-3 D0830F-A.txt.187 0.01523
ROUGE-3 D0830F-A.txt.186 0.01523
ROUGE-3 D0830F-A.txt.185 0.01523
ROUGE-3 D0830F-A.txt.184 0.01523

ROUGE-4 D0830F-A.txt.9 0.00000
ROUGE-4 D0830F-A.txt.99 0.00000
ROUGE-4 D0830F-A.txt.98 0.00000
ROUGE-4 D0830F-A.txt.97 0.00000
ROUGE-4 D0830F-A.txt.96 0.00000


config.gold.rouge.xml.28  =>  rouge.out.txt.28

ROUGE-1 D0831F-A.txt.65 0.34837
ROUGE-1 D0831F-A.txt.61 0.34837
ROUGE-1 D0831F-A.txt.86 0.33584
ROUGE-1 D0831F-A.txt.147 0.33584
ROUGE-1 D0831F-A.txt.123 0.33584

ROUGE-2 D0831F-A.txt.47 0.09367
ROUGE-2 D0831F-A.txt.86 0.07848
ROUGE-2 D0831F-A.txt.65 0.07848
ROUGE-2 D0831F-A.txt.62 0.07595
ROUGE-2 D0831F-A.txt.57 0.07342

ROUGE-3 D0831F-A.txt.47 0.03581
ROUGE-3 D0831F-A.txt.86 0.03325
ROUGE-3 D0831F-A.txt.78 0.03325
ROUGE-3 D0831F-A.txt.85 0.03069
ROUGE-3 D0831F-A.txt.84 0.03069

ROUGE-4 D0831F-A.txt.86 0.01292
ROUGE-4 D0831F-A.txt.85 0.01292
ROUGE-4 D0831F-A.txt.84 0.01292
ROUGE-4 D0831F-A.txt.83 0.01292
ROUGE-4 D0831F-A.txt.78 0.01292


config.gold.rouge.xml.29  =>  rouge.out.txt.29

ROUGE-1 D0832F-A.txt.214 0.34878
ROUGE-1 D0832F-A.txt.215 0.34390
ROUGE-1 D0832F-A.txt.160 0.32927
ROUGE-1 D0832F-A.txt.150 0.32439
ROUGE-1 D0832F-A.txt.74 0.32195

ROUGE-2 D0832F-A.txt.214 0.06158
ROUGE-2 D0832F-A.txt.157 0.06158
ROUGE-2 D0832F-A.txt.150 0.06158
